TEMPERATURA;HUMEDAD;TIRANTE;TIRANTE_IDEAL;CAUDAL_REAL
29,2;28,8;2,87;1,958660568;19,7752533
29,2;28,8;2,823;1,958660568;19,7752533
29,2;28,9;2,9;1,958660568;19,7752533
29,2;28,8;2,897;1,958660568;19,7752533
29,2;28,8;2,867;1,958660568;19,7752533
29,2;28,8;2,838;1,958660568;19,7752533
29,2;28,9;2,87;1,958660568;19,7752533
29,2;28,8;2,915;1,958660568;19,7752533
29,2;28,8;2,914;1,958660568;19,7752533
29,2;28,8;2,867;1,958660568;19,7752533
29,3;28,9;2,836;1,958660568;19,7752533
29,3;28,9;2,861;1,958660568;19,7752533
29,3;28,9;2,847;1,958660568;19,7752533
29,3;28,9;2,888;1,958660568;19,7752533
29,3;28,9;2,853;1,958660568;19,7752533
29,3;28,9;2,874;1,958660568;19,7752533
29,4;28,9;2,879;1,958660568;19,7752533
29,3;28,9;2,904;1,958660568;19,7752533
29,3;28,9;2,87;1,958660568;19,7752533
29,4;28,9;2,84;1,958660568;19,7752533
29,4;28,9;2,867;1,958660568;19,7752533
29,4;28,9;2,867;1,958660568;19,7752533
29,4;29;2,847;1,958660568;19,7752533
29,4;28,9;2,866;1,958660568;19,7752533
29,4;28,9;2,862;1,958660568;19,7752533
29,4;28,9;2,926;1,958660568;19,7752533
29,4;28,9;2,904;1,958660568;19,7752533
29,4;29;2,856;1,958660568;19,7752533
29,4;28,9;2,918;1,958660568;19,7752533
29,4;28,9;2,958;1,958660568;19,7752533
29,4;29;2,907;1,958660568;19,7752533
29,4;28,9;2,888;1,958660568;19,7752533
29,4;29;2,85;1,958660568;19,7752533
29,4;28,9;2,877;1,958660568;19,7752533
29,4;29;2,874;1,958660568;19,7752533
29,4;29;2,755;1,958660568;19,7752533
29,4;28,2;2,84;1,958660568;19,7752533
29,3;27,8;2,791;1,958660568;19,7752533
29,3;28,2;2,86;1,958660568;19,7752533
29,3;28,3;2,889;1,958660568;19,7752533
29,3;28,3;2,86;1,958660568;19,7752533
29,3;28,8;2,842;1,958660568;19,7752533
29,2;28,3;2,859;1,958660568;19,7752533
29,2;28,5;2,865;1,958660568;19,7752533
29,2;28;2,899;1,958660568;19,7752533
29,3;28,1;2,8;1,958660568;19,7752533
29,3;28,1;2,841;1,958660568;19,7752533
29,2;27,8;2,871;1,958660568;19,7752533
29,2;28;2,848;1,958660568;19,7752533
29,2;27,9;2,877;1,958660568;19,7752533
29,2;27,9;2,809;1,958660568;19,7752533
29,2;28,3;2,82;1,958660568;19,7752533
29,2;27,8;2,827;1,958660568;19,7752533
29,2;27,8;2,866;1,958660568;19,7752533
29,2;28,1;2,846;1,958660568;19,7752533
29,1;27,9;2,832;1,958660568;19,7752533
29,1;27,4;2,824;1,958660568;19,7752533
29,1;27,5;2,874;1,958660568;19,7752533
29,2;27,8;2,85;1,958660568;19,7752533
29,1;27,9;2,824;1,958660568;19,7752533
29,1;28;2,827;1,958660568;19,7752533
29,1;28;2,887;1,958660568;19,7752533
29,1;28,1;2,866;1,958660568;19,7752533
29,1;28,4;2,889;1,958660568;19,7752533
29,1;28,6;2,888;1,958660568;19,7752533
